sentence1,sentence2,label
The malware performs exploitation of setuid and setgid bits on executable files which was previously unreported,Abuse of sudo privileges through configuration weaknesses,1.0
Analysts observed use of valid accounts obtained through credential stuffing attacks as part of the attack chain,Phishing emails with malicious attachments targeting organization employees,1.0
Exfiltration over physical medium like USB devices,Forced authentication through fake SMB servers,0.0
Drive-by compromise through browser vulnerabilities,The malware performs drive-by compromise through browser vulnerabilities,1.0
Evidence suggests exfiltration over physical medium like usb devices bypassing standard security measures,Encrypted data exfiltration using custom encryption schemes,1.0
Data compressed before exfiltration to reduce transfer size,Use of alternate authentication material like SSH keys,0.0
Dynamic data exchange protocol exploitation in Office documents,Drive-by compromise through browser vulnerabilities,0.0
Security logs showed manipulation of network traffic to disrupt operations,Denial of service attacks against critical infrastructure,1.0
Collection of data from removable media when connected,Use of alternate authentication material like SSH keys,0.0
Exploitation of internal spearphishing with malicious links,Data encoding using custom algorithms to obfuscate communication,0.0
Code signing certificates used to sign malicious executables,PowerShell scripts executed to run malicious commands,0.0
System service discovery to identify potential vulnerabilities,Evidence suggests system service discovery to identify potential vulnerabilities as part of the attack chain,1.0
The threat actor engaged in query of registry to identify installed software and configurations bypassing standard security measures,Account enumeration to find valid user accounts,1.0
Unsecured credential storage exploitation in configuration files,Drive-by compromise through browser vulnerabilities,0.0
Manipulation of network traffic to disrupt operations,Execution via API calls to evade detection mechanisms,0.0
Investigation revealed exfiltration over command and control channel to reduce footprint,Exfiltration over physical medium like USB devices,1.0
Analysts observed active scanning of internal networks to map infrastructure as part of the attack chain,Browser bookmark discovery to gather intelligence on interests,1.0
The attack involved exploitation of vulnerable kernel drivers for privilege escalation,Exploitation of access token manipulation to elevate privileges,1.0
The malware performs windows management instrumentation (wmi) for remote code execution during the compromise,Execution through module load to bypass application controls,1.0
Exploitation of vulnerable kernel drivers for privilege escalation,Firmware corruption to render systems inoperable,0.0
Pass-the-hash attacks using stolen password hashes,Indicator removal through log clearing and file deletion,0.0
PowerShell scripts executed to run malicious commands,The attack involved powershell scripts executed to run malicious commands indicating sophisticated actors,1.0
Data from local systems gathered using scripts,Scheduled transfer of data during off-hours to avoid detection,0.0
Security logs showed indicator removal through log clearing and file deletion which was previously unreported,Timestomping of files to hide modification times,1.0
The threat actor engaged in defacement of websites to demonstrate compromise similar to known APT behaviors,Manipulation of network traffic to disrupt operations,1.0
Exploitation of setuid and setgid bits on executable files,Creation of new services configured to execute at system boot,0.0
The malware performs system service discovery to identify potential vulnerabilities to achieve their objectives,Active scanning of internal networks to map infrastructure,1.0
Traffic signaling to start data exfiltration when safe,The threat actor engaged in traffic signaling to start data exfiltration when safe,1.0
The attack involved supply chain compromise through third-party software providers similar to known APT behaviors,Use of valid accounts obtained through credential stuffing attacks,1.0
Forensic analysis identified fallback channels when primary communication is disrupted indicating sophisticated actors,Domain fronting through trusted domains to hide traffic,1.0
Automated collection of sensitive documents,Browser extensions added to maintain access through web browsers,0.0
The threat actor engaged in exploitation of public-facing applications with known vulnerabilities,Spear phishing links embedded in tailored emails to specific employees,1.0
Scheduled task manipulation to gain system-level privileges,Execution via API calls to evade detection mechanisms,0.0
The malware performs network share discovery to locate accessible data repositories indicating sophisticated actors,System service discovery to identify potential vulnerabilities,1.0
Use of alternate data streams to hide data in NTFS file systems,Encrypted data exfiltration using custom encryption schemes,0.0
Exploitation of setuid and setgid bits on executable files,Use of signed binary proxy execution through legitimate tools,0.0
The attack involved browser bookmark discovery to gather intelligence on interests,Account enumeration to find valid user accounts,1.0
Evidence suggests timestomping of files to hide modification times,Binary padding to avoid hash-based detection mechanisms,1.0
Fallback channels when primary communication is disrupted,System service discovery to identify potential vulnerabilities,0.0
Security logs showed screen capture to record user activities and sensitive information,Email collection from mail servers and client applications,1.0
Resource hijacking for cryptocurrency mining,Command-line interface usage to run unauthorized commands,0.0
Brute force attacks against authentication systems,Data transfer through alternative protocols like DNS or ICMP,0.0
Data destruction through secure deletion techniques,Exploitation of shared webroot in web servers,0.0
Forensic analysis identified exploitation of public-facing applications with known vulnerabilities,External remote services exploitation using brute force techniques,1.0
Scheduled transfer of data during off-hours to avoid detection,Investigation revealed scheduled transfer of data during off-hours to avoid detection similar to known APT behaviors,1.0
Query of registry to identify installed software and configurations,Timestomping of files to hide modification times,0.0
Forensic analysis identified exploitation of setuid and setgid bits on executable files indicating sophisticated actors,DLL search order hijacking to execute with elevated privileges,1.0
Use of signed binary proxy execution through legitimate tools,Traffic signaling to start data exfiltration when safe,0.0
Investigation revealed exploitation of internal spearphishing with malicious links,Use of alternate authentication material like SSH keys,1.0
Forensic analysis identified use of steganography to hide data in images or audio files indicating sophisticated actors,Scheduled transfer of data during off-hours to avoid detection,1.0
Forensic analysis identified binary padding to avoid hash-based detection mechanisms,Port knocking techniques to hide open ports from scans,1.0
Investigation revealed audio capture from compromised meeting room systems to achieve their objectives,Screen capture to record user activities and sensitive information,1.0
The attack involved powershell scripts executed to run malicious commands indicating sophisticated actors,Windows Management Instrumentation (WMI) for remote code execution,1.0
Security logs showed use of valid accounts obtained through credential stuffing attacks as part of the attack chain,Drive-by compromise through browser vulnerabilities,1.0
Supply chain compromise through third-party software providers,Resource hijacking for cryptocurrency mining,0.0
Forensic analysis identified bypass of user account control through known vulnerabilities,Exploitation of setuid and setgid bits on executable files,1.0
The malware performs pass-the-hash attacks using stolen password hashes,Use of remote services like RDP for internal network movement,1.0
Data transfer through alternative protocols like DNS or ICMP,Query of registry to identify installed software and configurations,0.0
Execution through module load to bypass application controls,Taint shared content with malicious payloads,0.0
The malware performs use of remote file copy to transfer tools between systems,Exploitation of shared webroot in web servers,1.0
Investigation revealed application layer protocol use for command channel as part of the attack chain,Traffic signaling to activate dormant implants,1.0
Investigation revealed scheduled task manipulation to gain system-level privileges,Exploitation of vulnerable kernel drivers for privilege escalation,1.0
The attack involved exploitation of shared webroot in web servers,Pass-the-hash attacks using stolen password hashes,1.0
Exploitation of Windows Admin Shares with valid credentials,External remote services exploitation using brute force techniques,0.0
System service discovery to identify potential vulnerabilities,Taint shared content with malicious payloads,0.0
Registry run keys modification for automatic execution at startup,Collection of data from removable media when connected,0.0
Investigation revealed scheduled transfer of data during off-hours to avoid detection similar to known APT behaviors,Exfiltration over command and control channel to reduce footprint,1.0
The malware performs multi-stage channels using different protocols for each stage,Domain fronting through trusted domains to hide traffic,1.0
Supply chain compromise through third-party software providers,Denial of service attacks against critical infrastructure,0.0
Active scanning of internal networks to map infrastructure,Security logs showed active scanning of internal networks to map infrastructure,1.0
Scheduled task creation to maintain persistence,Exploitation of access token manipulation to elevate privileges,0.0
The threat actor engaged in modification of startup folder with malicious executables similar to known APT behaviors,Account manipulation by adding privileges to compromised accounts,1.0
The threat actor engaged in active scanning of internal networks to map infrastructure similar to known APT behaviors,Network share discovery to locate accessible data repositories,1.0
Modification of startup folder with malicious executables,Firmware corruption to render systems inoperable,0.0
The malware performs firmware corruption to render systems inoperable according to incident responders,Manipulation of network traffic to disrupt operations,1.0
Browser bookmark discovery to gather intelligence on interests,Process injection to execute code in the context of another process,0.0
Scheduled task creation to maintain persistence,Analysts observed scheduled task creation to maintain persistence,1.0
The malware performs defacement of websites to demonstrate compromise bypassing standard security measures,Resource hijacking for cryptocurrency mining,1.0
Forensic analysis identified creation of new services configured to execute at system boot similar to known APT behaviors,BITS jobs created to maintain persistence and evade detection,1.0
Browser extensions added to maintain access through web browsers,Exploitation of Windows Admin Shares with valid credentials,0.0
External remote services exploitation using brute force techniques,Traffic signaling to activate dormant implants,0.0
Code signing certificates used to sign malicious executables,Registry run keys modification for automatic execution at startup,0.0
Analysts observed use of valid accounts obtained through credential stuffing attacks as part of the attack chain,External remote services exploitation using brute force techniques,1.0
The malware performs traffic signaling to activate dormant implants during the compromise,Multi-stage channels using different protocols for each stage,1.0
The malware performs exploitation of setuid and setgid bits on executable files which was previously unreported,Scheduled task manipulation to gain system-level privileges,1.0
PowerShell scripts executed to run malicious commands,Data compressed before exfiltration to reduce transfer size,0.0
Forensic analysis identified file and directory discovery to locate sensitive information to achieve their objectives,Application window discovery to identify running applications,1.0
The malware performs windows management instrumentation (wmi) for remote code execution during the compromise,Command-line interface usage to run unauthorized commands,1.0
The malware performs screen capture to record user activities and sensitive information indicating sophisticated actors,Automated collection of sensitive documents,1.0
Evidence suggests exfiltration over physical medium like usb devices bypassing standard security measures,Traffic signaling to start data exfiltration when safe,1.0
Investigation revealed network sniffing to capture credentials transmitted in cleartext,Kerberoasting to extract service account credentials,1.0
Investigation revealed password spraying attacks using common passwords indicating sophisticated actors,Forced authentication through fake SMB servers,1.0
Exploitation of shared webroot in web servers,Data from local systems gathered using scripts,0.0
Evidence suggests timestomping of files to hide modification times,Code signing certificates used to sign malicious executables,1.0
Evidence suggests data encryption for ransom using sophisticated ransomware,Firmware corruption to render systems inoperable,1.0
Forensic analysis identified data destruction through secure deletion techniques during the compromise,Denial of service attacks against critical infrastructure,1.0
Investigation revealed exploitation of windows admin shares with valid credentials,Pass-the-hash attacks using stolen password hashes,1.0
Exfiltration over command and control channel to reduce footprint,Email collection from mail servers and client applications,0.0
The attack involved exploitation of access token manipulation to elevate privileges,Process injection to execute code in the context of another process,1.0
Use of steganography to hide data in images or audio files,Bypass of user account control through known vulnerabilities,0.0
Evidence suggests manipulation of network traffic to disrupt operations bypassing standard security measures,Firmware corruption to render systems inoperable,1.0
DLL search order hijacking to execute with elevated privileges,Exploitation of public-facing applications with known vulnerabilities,0.0
Bootkit installation to survive operating system reinstallation,Command-line interface usage to run unauthorized commands,0.0
Dynamic data exchange protocol exploitation in Office documents,Resource hijacking for cryptocurrency mining,0.0
Investigation revealed password spraying attacks using common passwords indicating sophisticated actors,Unsecured credential storage exploitation in configuration files,1.0
The threat actor engaged in modification of startup folder with malicious executables similar to known APT behaviors,Registry run keys modification for automatic execution at startup,1.0
The malware performs scheduled task manipulation to gain system-level privileges indicating sophisticated actors,Bypass of user account control through known vulnerabilities,1.0
Investigation revealed browser extensions added to maintain access through web browsers,Bootkit installation to survive operating system reinstallation,1.0
Application layer protocol use for command channel,Data from cloud storage extracted using API access,0.0
Drive-by compromise through browser vulnerabilities,Data destruction through secure deletion techniques,0.0
Kerberoasting to extract service account credentials,Exploitation of setuid and setgid bits on executable files,0.0
Process injection to execute code in the context of another process,Traffic signaling to activate dormant implants,0.0
Binary padding to avoid hash-based detection mechanisms,Exploitation of setuid and setgid bits on executable files,0.0
Security logs showed supply chain compromise through third-party software providers during the compromise,Exploitation of public-facing applications with known vulnerabilities,1.0
The malware performs disk wipe attacks targeting master boot records,Data encryption for ransom using sophisticated ransomware,1.0
Resource hijacking for cryptocurrency mining,Collection of data from removable media when connected,0.0
Use of alternate authentication material like SSH keys,Indicator removal through log clearing and file deletion,0.0
Investigation revealed multi-stage channels using different protocols for each stage,Domain fronting through trusted domains to hide traffic,1.0
Port knocking techniques to hide open ports from scans,Taint shared content with malicious payloads,0.0
Command-line interface usage to run unauthorized commands,Security logs showed command-line interface usage to run unauthorized commands,1.0
The malware performs data compressed before exfiltration to reduce transfer size,Encrypted data exfiltration using custom encryption schemes,1.0
Code signing certificates used to sign malicious executables,PowerShell scripts executed to run malicious commands,0.0
Security logs showed traffic signaling to start data exfiltration when safe during the compromise,Encrypted data exfiltration using custom encryption schemes,1.0
The threat actor engaged in binary padding to avoid hash-based detection mechanisms,Use of alternate data streams to hide data in NTFS file systems,1.0
The attack involved resource hijacking for cryptocurrency mining to achieve their objectives,Data destruction through secure deletion techniques,1.0
Query of registry to identify installed software and configurations,Account manipulation by adding privileges to compromised accounts,0.0
Evidence suggests bootkit installation to survive operating system reinstallation according to incident responders,Account manipulation by adding privileges to compromised accounts,1.0
The malware performs traffic signaling to activate dormant implants during the compromise,Use of web service APIs for command and control,1.0
Unsecured credential storage exploitation in configuration files,Pass-the-hash attacks using stolen password hashes,0.0
Analysts observed active scanning of internal networks to map infrastructure as part of the attack chain,Account enumeration to find valid user accounts,1.0
Security logs showed active scanning of internal networks to map infrastructure,System service discovery to identify potential vulnerabilities,1.0
The threat actor engaged in bits jobs created to maintain persistence and evade detection,Account manipulation by adding privileges to compromised accounts,1.0
Evidence suggests exploitation of rootkits to hide implants and backdoors,Disabling security tools through registry modifications,1.0
The malware performs exploitation of access token manipulation to elevate privileges,DLL search order hijacking to execute with elevated privileges,1.0
Traffic signaling to activate dormant implants,Indicator removal through log clearing and file deletion,0.0
Supply chain compromise through third-party software providers,Use of remote services like RDP for internal network movement,0.0
Evidence suggests exploitation of internal spearphishing with malicious links,Use of alternate authentication material like SSH keys,1.0
Data from cloud storage extracted using API access,Timestomping of files to hide modification times,0.0
Investigation revealed exfiltration over command and control channel to reduce footprint,Scheduled transfer of data during off-hours to avoid detection,1.0
Evidence suggests brute force attacks against authentication systems bypassing standard security measures,Kerberoasting to extract service account credentials,1.0
The malware performs traffic signaling to activate dormant implants during the compromise,Domain fronting through trusted domains to hide traffic,1.0
Traffic signaling to start data exfiltration when safe,Phishing emails with malicious attachments targeting organization employees,0.0
Evidence suggests query of registry to identify installed software and configurations,System service discovery to identify potential vulnerabilities,1.0
Execution through module load to bypass application controls,Disabling security tools through registry modifications,0.0
Forensic analysis identified bypass of user account control through known vulnerabilities,Exploitation of vulnerable kernel drivers for privilege escalation,1.0
Security logs showed exploitation of shared webroot in web servers during the compromise,Pass-the-hash attacks using stolen password hashes,1.0
Investigation revealed resource hijacking for cryptocurrency mining,Data destruction through secure deletion techniques,1.0
Investigation revealed dynamic data exchange protocol exploitation in office documents,Windows Management Instrumentation (WMI) for remote code execution,1.0
Evidence suggests bootkit installation to survive operating system reinstallation according to incident responders,BITS jobs created to maintain persistence and evade detection,1.0
Network share discovery to locate accessible data repositories,Bootkit installation to survive operating system reinstallation,0.0
Investigation revealed dynamic data exchange protocol exploitation in office documents,Scheduled task creation to maintain persistence,1.0
Disk wipe attacks targeting master boot records,Exploitation of internal spearphishing with malicious links,0.0
Security logs showed kerberoasting to extract service account credentials bypassing standard security measures,Unsecured credential storage exploitation in configuration files,1.0
Dynamic data exchange protocol exploitation in Office documents,Scheduled tasks added to maintain access after system reboots,0.0
Evidence suggests data encoding using custom algorithms to obfuscate communication,Use of web service APIs for command and control,1.0
The attack involved browser extensions added to maintain access through web browsers,BITS jobs created to maintain persistence and evade detection,1.0
Timestomping of files to hide modification times,Evidence suggests timestomping of files to hide modification times during the compromise,1.0
Collection of data from removable media when connected,Forensic analysis identified collection of data from removable media when connected,1.0
Security logs showed use of valid accounts obtained through credential stuffing attacks as part of the attack chain,External remote services exploitation using brute force techniques,1.0
The malware performs kerberoasting to extract service account credentials bypassing standard security measures,Network sniffing to capture credentials transmitted in cleartext,1.0
The threat actor engaged in dll search order hijacking to execute with elevated privileges,Process injection to execute code in the context of another process,1.0
Evidence suggests application layer protocol use for command channel as part of the attack chain,Use of web service APIs for command and control,1.0
Evidence suggests data encryption for ransom using sophisticated ransomware,Denial of service attacks against critical infrastructure,1.0
The threat actor engaged in multi-stage channels using different protocols for each stage,Domain fronting through trusted domains to hide traffic,1.0
Investigation revealed file and directory discovery to locate sensitive information during the compromise,Application window discovery to identify running applications,1.0
Scheduled task manipulation to gain system-level privileges,Defacement of websites to demonstrate compromise,0.0
Data encryption for ransom using sophisticated ransomware,Hardware additions like USB devices planted in physical locations,0.0
Security logs showed screen capture to record user activities and sensitive information as part of the attack chain,Collection of data from removable media when connected,1.0
Password spraying attacks using common passwords,Modification of startup folder with malicious executables,0.0
Security logs showed screen capture to record user activities and sensitive information as part of the attack chain,Automated collection of sensitive documents,1.0
Analysts observed browser bookmark discovery to gather intelligence on interests which was previously unreported,System service discovery to identify potential vulnerabilities,1.0
Evidence suggests taint shared content with malicious payloads during the compromise,Exploitation of Windows Admin Shares with valid credentials,1.0
The attack involved dynamic data exchange protocol exploitation in office documents to achieve their objectives,Windows Management Instrumentation (WMI) for remote code execution,1.0
The malware performs input capture through keylogging software,Collection of data from removable media when connected,1.0
Investigation revealed data destruction through secure deletion techniques,Resource hijacking for cryptocurrency mining,1.0
File and directory discovery to locate sensitive information,Exfiltration over physical medium like USB devices,0.0
The threat actor engaged in exploitation of public-facing applications with known vulnerabilities,Drive-by compromise through browser vulnerabilities,1.0
Security logs showed kerberoasting to extract service account credentials bypassing standard security measures,Forced authentication through fake SMB servers,1.0
Evidence suggests data encryption for ransom using sophisticated ransomware,Manipulation of network traffic to disrupt operations,1.0
Evidence suggests manipulation of network traffic to disrupt operations bypassing standard security measures,Disk wipe attacks targeting master boot records,1.0
Data destruction through secure deletion techniques,Data from local systems gathered using scripts,0.0
Evidence suggests account manipulation by adding privileges to compromised accounts during the compromise,Creation of new services configured to execute at system boot,1.0
Analysts observed scheduled task creation to maintain persistence,Use of signed binary proxy execution through legitimate tools,1.0
Exploitation of access token manipulation to elevate privileges,Supply chain compromise through third-party software providers,0.0
Scheduled transfer of data during off-hours to avoid detection,Scheduled task manipulation to gain system-level privileges,0.0
Analysts observed account manipulation by adding privileges to compromised accounts which was previously unreported,BITS jobs created to maintain persistence and evade detection,1.0
The malware performs account manipulation by adding privileges to compromised accounts according to incident responders,Bootkit installation to survive operating system reinstallation,1.0
Investigation revealed abuse of sudo privileges through configuration weaknesses indicating sophisticated actors,Exploitation of setuid and setgid bits on executable files,1.0
The threat actor engaged in modification of startup folder with malicious executables indicating sophisticated actors,Registry run keys modification for automatic execution at startup,1.0
Disk wipe attacks targeting master boot records,Exploitation of rootkits to hide implants and backdoors,0.0
Windows Management Instrumentation (WMI) for remote code execution,Abuse of sudo privileges through configuration weaknesses,0.0
Investigation revealed brute force attacks against authentication systems indicating sophisticated actors,Network sniffing to capture credentials transmitted in cleartext,1.0
Exfiltration over command and control channel to reduce footprint,Exploitation of shared webroot in web servers,0.0
Data destruction through secure deletion techniques,Use of remote services like RDP for internal network movement,0.0
The threat actor engaged in supply chain compromise through third-party software providers,Exploitation of public-facing applications with known vulnerabilities,1.0
Exploitation of rootkits to hide implants and backdoors,Analysts observed exploitation of rootkits to hide implants and backdoors which was previously unreported,1.0
Data encryption for ransom using sophisticated ransomware,File and directory discovery to locate sensitive information,0.0
Supply chain compromise through third-party software providers,Security logs showed supply chain compromise through third-party software providers during the compromise,1.0
Investigation revealed browser extensions added to maintain access through web browsers,Account manipulation by adding privileges to compromised accounts,1.0
Investigation revealed extraction of passwords from browser storage locations,Network sniffing to capture credentials transmitted in cleartext,1.0
Investigation revealed exploitation of access token manipulation to elevate privileges to achieve their objectives,Abuse of sudo privileges through configuration weaknesses,1.0
The threat actor engaged in bits jobs created to maintain persistence and evade detection,Registry run keys modification for automatic execution at startup,1.0
Firmware corruption to render systems inoperable,BITS jobs created to maintain persistence and evade detection,0.0
Execution via API calls to evade detection mechanisms,External remote services exploitation using brute force techniques,0.0
The threat actor engaged in brute force attacks against authentication systems,Forced authentication through fake SMB servers,1.0
Audio capture from compromised meeting room systems,System service discovery to identify potential vulnerabilities,0.0
Input capture through keylogging software,Query of registry to identify installed software and configurations,0.0
Query of registry to identify installed software and configurations,Traffic signaling to activate dormant implants,0.0
The attack involved dynamic data exchange protocol exploitation in office documents to achieve their objectives,PowerShell scripts executed to run malicious commands,1.0
Investigation revealed audio capture from compromised meeting room systems to achieve their objectives,Email collection from mail servers and client applications,1.0
Use of remote file copy to transfer tools between systems,Collection of data from removable media when connected,0.0
Exfiltration over command and control channel to reduce footprint,Exploitation of access token manipulation to elevate privileges,0.0
Security logs showed bits jobs created to maintain persistence and evade detection,Bootkit installation to survive operating system reinstallation,1.0
External remote services exploitation using brute force techniques,Data encoding using custom algorithms to obfuscate communication,0.0
Analysts observed unsecured credential storage exploitation in configuration files as part of the attack chain,Credential dumping from memory using Mimikatz-like tools,1.0
The malware performs external remote services exploitation using brute force techniques,Supply chain compromise through third-party software providers,1.0
Analysts observed use of web service apis for command and control to achieve their objectives,Multi-stage channels using different protocols for each stage,1.0
Security logs showed email collection from mail servers and client applications,Automated collection of sensitive documents,1.0
Forced authentication through fake SMB servers,Use of alternate authentication material like SSH keys,0.0
Security logs showed unsecured credential storage exploitation in configuration files,Extraction of passwords from browser storage locations,1.0
Exploitation of internal spearphishing with malicious links,Scheduled task creation to maintain persistence,0.0
Exploitation of access token manipulation to elevate privileges,Scheduled tasks added to maintain access after system reboots,0.0
Investigation revealed use of alternate authentication material like ssh keys,Exploitation of Windows Admin Shares with valid credentials,1.0
Network share discovery to locate accessible data repositories,Manipulation of network traffic to disrupt operations,0.0
The threat actor engaged in registry run keys modification for automatic execution at startup during the compromise,Browser extensions added to maintain access through web browsers,1.0
The threat actor engaged in data encoding using custom algorithms to obfuscate communication,Use of web service APIs for command and control,1.0
Security logs showed exploitation of vulnerable kernel drivers for privilege escalation bypassing standard security measures,Scheduled task manipulation to gain system-level privileges,1.0
External remote services exploitation using brute force techniques,Disk wipe attacks targeting master boot records,0.0
Forensic analysis identified data transfer through alternative protocols like dns or icmp,Data compressed before exfiltration to reduce transfer size,1.0
Registry run keys modification for automatic execution at startup,Exploitation of vulnerable kernel drivers for privilege escalation,0.0
Data compressed before exfiltration to reduce transfer size,DLL search order hijacking to execute with elevated privileges,0.0
Forensic analysis identified exploitation of setuid and setgid bits on executable files indicating sophisticated actors,Scheduled task manipulation to gain system-level privileges,1.0
The malware performs firmware corruption to render systems inoperable according to incident responders,Data destruction through secure deletion techniques,1.0
The attack involved use of alternate authentication material like ssh keys,Exploitation of shared webroot in web servers,1.0
Denial of service attacks against critical infrastructure,Exploitation of setuid and setgid bits on executable files,0.0
Data encryption for ransom using sophisticated ransomware,Forensic analysis identified data encryption for ransom using sophisticated ransomware,1.0
Evidence suggests encrypted data exfiltration using custom encryption schemes,Data transfer through alternative protocols like DNS or ICMP,1.0
Security logs showed exploitation of vulnerable kernel drivers for privilege escalation bypassing standard security measures,Exploitation of access token manipulation to elevate privileges,1.0
The malware performs pass-the-hash attacks using stolen password hashes,Use of alternate authentication material like SSH keys,1.0
Evidence suggests scheduled transfer of data during off-hours to avoid detection as part of the attack chain,Data compressed before exfiltration to reduce transfer size,1.0
Network share discovery to locate accessible data repositories,PowerShell scripts executed to run malicious commands,0.0
Exfiltration over physical medium like USB devices,Evidence suggests exfiltration over physical medium like usb devices bypassing standard security measures,1.0
Analysts observed execution via api calls to evade detection mechanisms,Scheduled task creation to maintain persistence,1.0
